region,occupation,year,value,id,occupation_id
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Не указавшие ,2007,1,KZ-VOS,unknown
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Не указавшие ,2012,-7,KZ-VOS,unknown
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Не указавшие ,2008,11,KZ-VOS,unknown
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Не указавшие ,2009,5,KZ-VOS,unknown
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Не указавшие ,2004,2,KZ-VOS,unknown
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Не указавшие ,2001,109,KZ-VOS,unknown
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Не указавшие ,2015,-1,KZ-VOS,unknown
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Не указавшие ,2002,-1,KZ-VOS,unknown
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Не указавшие ,2000,-4,KZ-VOS,unknown
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Не указавшие ,2006,3,KZ-VOS,unknown
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Не указавшие ,2003,8,KZ-VOS,unknown
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2014,-323,KZ-VOS,economics
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2004,-451,KZ-VOS,economics
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2005,-352,KZ-VOS,economics
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2012,-434,KZ-VOS,economics
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2008,-376,KZ-VOS,economics
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2009,-257,KZ-VOS,economics
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2013,-230,KZ-VOS,economics
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2010,-180,KZ-VOS,economics
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2011,-354,KZ-VOS,economics
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2007,-303,KZ-VOS,economics
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2015,-340,KZ-VOS,economics
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2000,-451,KZ-VOS,economics
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2016,-344,KZ-VOS,economics
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2001,-484,KZ-VOS,economics
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2003,-214,KZ-VOS,economics
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2006,-182,KZ-VOS,economics
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2002,-507,KZ-VOS,economics
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2017,-371,KZ-VOS,economics
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2012,-102,KZ-VOS,construction
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2010,-54,KZ-VOS,construction
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2014,-85,KZ-VOS,construction
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2004,-148,KZ-VOS,construction
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2005,-140,KZ-VOS,construction
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2007,-84,KZ-VOS,construction
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2015,-61,KZ-VOS,construction
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2008,-123,KZ-VOS,construction
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2009,-91,KZ-VOS,construction
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2013,-51,KZ-VOS,construction
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2011,-88,KZ-VOS,construction
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2000,-245,KZ-VOS,construction
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2006,-35,KZ-VOS,construction
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2016,-42,KZ-VOS,construction
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2003,-102,KZ-VOS,construction
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2002,-240,KZ-VOS,construction
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2001,-218,KZ-VOS,construction
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2017,-43,KZ-VOS,construction
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Юридическое ,2007,-87,KZ-VOS,law
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Юридическое ,2009,-77,KZ-VOS,law
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Юридическое ,2011,-73,KZ-VOS,law
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Юридическое ,2012,-86,KZ-VOS,law
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Юридическое ,2008,-118,KZ-VOS,law
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Юридическое ,2013,-35,KZ-VOS,law
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Юридическое ,2010,-33,KZ-VOS,law
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Юридическое ,2005,-109,KZ-VOS,law
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Юридическое ,2014,-58,KZ-VOS,law
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Юридическое ,2004,-115,KZ-VOS,law
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Юридическое ,2001,-74,KZ-VOS,law
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Юридическое ,2015,-92,KZ-VOS,law
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Юридическое ,2016,-59,KZ-VOS,law
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Юридическое ,2003,-48,KZ-VOS,law
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Юридическое ,2006,-59,KZ-VOS,law
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Юридическое ,2002,-97,KZ-VOS,law
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Юридическое ,2000,-66,KZ-VOS,law
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Юридическое ,2017,-74,KZ-VOS,law
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Педагогическое ,2014,-168,KZ-VOS,teach
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Педагогическое ,2004,-427,KZ-VOS,teach
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Педагогическое ,2008,-181,KZ-VOS,teach
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Педагогическое ,2011,-255,KZ-VOS,teach
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Педагогическое ,2009,-153,KZ-VOS,teach
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Педагогическое ,2012,-275,KZ-VOS,teach
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Педагогическое ,2005,-326,KZ-VOS,teach
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Педагогическое ,2007,-277,KZ-VOS,teach
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Педагогическое ,2015,-187,KZ-VOS,teach
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Педагогическое ,2013,-171,KZ-VOS,teach
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Педагогическое ,2010,-172,KZ-VOS,teach
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Педагогическое ,2002,-612,KZ-VOS,teach
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Педагогическое ,2016,-221,KZ-VOS,teach
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Педагогическое ,2000,-613,KZ-VOS,teach
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Педагогическое ,2001,-606,KZ-VOS,teach
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Педагогическое ,2003,-256,KZ-VOS,teach
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Педагогическое ,2006,-212,KZ-VOS,teach
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Педагогическое ,2017,-228,KZ-VOS,teach
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Медицинское,2005,-177,KZ-VOS,med
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Медицинское,2007,-161,KZ-VOS,med
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Медицинское,2013,-88,KZ-VOS,med
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Медицинское,2010,-71,KZ-VOS,med
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Медицинское,2011,-100,KZ-VOS,med
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Медицинское,2012,-120,KZ-VOS,med
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Медицинское,2014,-114,KZ-VOS,med
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Медицинское,2004,-216,KZ-VOS,med
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Медицинское,2008,-118,KZ-VOS,med
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Медицинское,2009,-72,KZ-VOS,med
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Медицинское,2003,-140,KZ-VOS,med
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Медицинское,2001,-367,KZ-VOS,med
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Медицинское,2015,-119,KZ-VOS,med
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Медицинское,2002,-384,KZ-VOS,med
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Медицинское,2016,-102,KZ-VOS,med
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Медицинское,2000,-408,KZ-VOS,med
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Медицинское,2006,-115,KZ-VOS,med
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Медицинское,2017,-119,KZ-VOS,med
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Сельскохозяйственное,2007,-101,KZ-VOS,agro
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Сельскохозяйственное,2013,-11,KZ-VOS,agro
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Сельскохозяйственное,2012,-36,KZ-VOS,agro
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Сельскохозяйственное,2005,-81,KZ-VOS,agro
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Сельскохозяйственное,2010,-14,KZ-VOS,agro
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Сельскохозяйственное,2014,-26,KZ-VOS,agro
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Сельскохозяйственное,2004,-126,KZ-VOS,agro
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Сельскохозяйственное,2008,-51,KZ-VOS,agro
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Сельскохозяйственное,2009,-31,KZ-VOS,agro
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Сельскохозяйственное,2011,-30,KZ-VOS,agro
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Сельскохозяйственное,2002,-165,KZ-VOS,agro
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Сельскохозяйственное,2016,-29,KZ-VOS,agro
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Сельскохозяйственное,2006,-46,KZ-VOS,agro
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Сельскохозяйственное,2015,-37,KZ-VOS,agro
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Сельскохозяйственное,2001,-197,KZ-VOS,agro
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Сельскохозяйственное,2000,-145,KZ-VOS,agro
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Сельскохозяйственное,2003,-90,KZ-VOS,agro
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Сельскохозяйственное,2017,-18,KZ-VOS,agro
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2010,-22,KZ-SEV,construction
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2014,-40,KZ-SEV,construction
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2004,-46,KZ-SEV,construction
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2008,-71,KZ-SEV,construction
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2011,-69,KZ-SEV,construction
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2012,-50,KZ-SEV,construction
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2007,-12,KZ-SEV,construction
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2013,-37,KZ-SEV,construction
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2005,-4,KZ-SEV,construction
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2000,-57,KZ-SEV,construction
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2009,-47,KZ-SEV,construction
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2015,-56,KZ-SEV,construction
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2003,-45,KZ-SEV,construction
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2006,33,KZ-SEV,construction
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2002,-75,KZ-SEV,construction
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2001,-108,KZ-SEV,construction
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2016,-39,KZ-SEV,construction
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Архитектурно-строительное ,2017,-51,KZ-SEV,construction
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2010,-128,KZ-SEV,economics
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2012,-159,KZ-SEV,economics
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2014,-196,KZ-SEV,economics
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2004,-261,KZ-SEV,economics
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2005,-154,KZ-SEV,economics
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2007,-198,KZ-SEV,economics
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2015,-200,KZ-SEV,economics
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2008,-373,KZ-SEV,economics
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2013,-149,KZ-SEV,economics
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2009,-183,KZ-SEV,economics
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2011,-173,KZ-SEV,economics
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2006,-13,KZ-SEV,economics
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2002,-335,KZ-SEV,economics
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2003,-202,KZ-SEV,economics
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2000,-200,KZ-SEV,economics
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2001,-263,KZ-SEV,economics
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2016,-219,KZ-SEV,economics
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Экономическое,2017,-234,KZ-SEV,economics
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2014,-339,KZ-SEV,other
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2004,-533,KZ-SEV,other
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2013,-230,KZ-SEV,other
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2010,-203,KZ-SEV,other
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2008,-568,KZ-SEV,other
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2005,-141,KZ-SEV,other
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2009,-274,KZ-SEV,other
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2011,-375,KZ-SEV,other
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2012,-256,KZ-SEV,other
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2007,-286,KZ-SEV,other
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2015,-352,KZ-SEV,other
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2002,-560,KZ-SEV,other
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2001,-779,KZ-SEV,other
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2016,-405,KZ-SEV,other
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2000,-511,KZ-SEV,other
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2006,324,KZ-SEV,other
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2003,-398,KZ-SEV,other
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Другое ,2017,-356,KZ-SEV,other
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Не указавшие ,2005,6,KZ-SEV,unknown
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Не указавшие ,2007,-6,KZ-SEV,unknown
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Не указавшие ,2009,5,KZ-SEV,unknown
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Не указавшие ,2004,-1,KZ-SEV,unknown
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Не указавшие ,2010,-3,KZ-SEV,unknown
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Не указавшие ,2002,-3,KZ-SEV,unknown
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Не указавшие ,2001,45,KZ-SEV,unknown
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Не указавшие ,2015,-1,KZ-SEV,unknown
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Не указавшие ,2000,-1,KZ-SEV,unknown
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Не указавшие ,2006,2,KZ-SEV,unknown
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Техническое,2012,-276,KZ-SEV,tech
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Техническое,2014,-307,KZ-SEV,tech
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Техническое,2004,-557,KZ-SEV,tech
